fastq	Accession
REP1_type3_HEK3_GCTGC_pegRNA_RTT_opt_36_R1.fastq.gz	SRR33940168
REP1_type3_HEK3_GCTGC_pegRNA_RTT_opt_40_R1.fastq.gz	SRR33940167
REP1_type3_HEK3_GTCAG_pegRNA_RTT_opt_24_R1.fastq.gz	SRR33939802
REP1_type3_HEK3_GTCAG_pegRNA_RTT_opt_26_R1.fastq.gz	SRR33939801
REP1_type3_HEK3_GTCAG_pegRNA_RTT_opt_28_R1.fastq.gz	SRR33939800
REP1_type3_HEK3_GTCAG_pegRNA_RTT_opt_30_R1.fastq.gz	SRR33939799
REP1_type3_HEK3_GTCAG_pegRNA_RTT_opt_32_R1.fastq.gz	SRR33939798
REP1_type3_HEK3_GTCAG_pegRNA_RTT_opt_34_R1.fastq.gz	SRR33939797
REP1_type3_HEK3_GTCAG_pegRNA_RTT_opt_36_R1.fastq.gz	SRR33939796
REP1_type3_HEK3_GTCAG_pegRNA_RTT_opt_40_R1.fastq.gz	SRR33939795
REP2_type1_AAVS1_GCTGC_pegRNA_RTT_opt_23_R1.fastq.gz	SRR33939793
REP2_type1_AAVS1_GCTGC_pegRNA_RTT_opt_25_R1.fastq.gz	SRR33939792
REP2_type1_AAVS1_GCTGC_pegRNA_RTT_opt_27_R1.fastq.gz	SRR33939791
REP2_type1_AAVS1_GCTGC_pegRNA_RTT_opt_29_R1.fastq.gz	SRR33939790
REP2_type1_AAVS1_GCTGC_pegRNA_RTT_opt_31_R1.fastq.gz	SRR33939789
REP2_type1_AAVS1_GCTGC_pegRNA_RTT_opt_33_R1.fastq.gz	SRR33939788
REP2_type1_AAVS1_GTCAG_pegRNA_RTT_opt_23_R1.fastq.gz	SRR33939787
REP2_type1_AAVS1_GTCAG_pegRNA_RTT_opt_25_R1.fastq.gz	SRR33939786
REP2_type1_AAVS1_GTCAG_pegRNA_RTT_opt_27_R1.fastq.gz	SRR33940305
REP2_type1_AAVS1_GTCAG_pegRNA_RTT_opt_29_R1.fastq.gz	SRR33940601
REP2_type1_AAVS1_GTCAG_pegRNA_RTT_opt_31_R1.fastq.gz	SRR33940599
REP2_type1_AAVS1_GTCAG_pegRNA_RTT_opt_33_R1.fastq.gz	SRR33940598
REP2_type1_HEK3_GCTGC_pegRNA_RTT_opt_30_R1.fastq.gz	SRR33940597
REP2_type1_HEK3_GCTGC_pegRNA_RTT_opt_32_R1.fastq.gz	SRR33940596
REP2_type1_HEK3_GCTGC_pegRNA_RTT_opt_34_R1.fastq.gz	SRR33940595
REP2_type1_HEK3_GCTGC_pegRNA_RTT_opt_36_R1.fastq.gz	SRR33940594
REP2_type1_HEK3_GCTGC_pegRNA_RTT_opt_40_R1.fastq.gz	SRR33940593
REP2_type1_HEK3_GTCAG_pegRNA_RTT_opt_30_R1.fastq.gz	SRR33940592
REP2_type1_HEK3_GTCAG_pegRNA_RTT_opt_32_R1.fastq.gz	SRR33940363
REP2_type1_HEK3_GTCAG_pegRNA_RTT_opt_34_R1.fastq.gz	SRR33940362
REP2_type1_HEK3_GTCAG_pegRNA_RTT_opt_36_R1.fastq.gz	SRR33940360
REP2_type1_HEK3_GTCAG_pegRNA_RTT_opt_40_R1.fastq.gz	SRR33940359
REP2_type1_RNF2_GCTGC_pegRNA_RTT_opt_10_R1.fastq.gz	SRR33940358
REP2_type1_RNF2_GCTGC_pegRNA_RTT_opt_12_R1.fastq.gz	SRR33940357
REP2_type1_RNF2_GCTGC_pegRNA_RTT_opt_14_R1.fastq.gz	SRR33940356
REP2_type1_RNF2_GCTGC_pegRNA_RTT_opt_16_R1.fastq.gz	SRR33940355
REP2_type1_RNF2_GCTGC_pegRNA_RTT_opt_18_R1.fastq.gz	SRR33940354
REP2_type1_RNF2_GCTGC_pegRNA_RTT_opt_20_R1.fastq.gz	SRR33940353
REP2_type1_RNF2_GCTGC_pegRNA_RTT_opt_6_R1.fastq.gz	SRR33940352
REP2_type1_RNF2_GCTGC_pegRNA_RTT_opt_8_R1.fastq.gz	SRR33940351
REP2_type1_RNF2_GTCAG_pegRNA_RTT_opt_10_R1.fastq.gz	SRR33940349
REP2_type1_RNF2_GTCAG_pegRNA_RTT_opt_12_R1.fastq.gz	SRR33940348
REP2_type1_RNF2_GTCAG_pegRNA_RTT_opt_14_R1.fastq.gz	SRR33940347
REP2_type1_RNF2_GTCAG_pegRNA_RTT_opt_16_R1.fastq.gz	SRR33940346
REP2_type1_RNF2_GTCAG_pegRNA_RTT_opt_18_R1.fastq.gz	SRR33940345
REP2_type1_RNF2_GTCAG_pegRNA_RTT_opt_20_R1.fastq.gz	SRR33940344
REP2_type1_RNF2_GTCAG_pegRNA_RTT_opt_6_R1.fastq.gz	SRR33940343
REP2_type1_RNF2_GTCAG_pegRNA_RTT_opt_8_R1.fastq.gz	SRR33940342
REP2_type1_RUNX1_GCTGC_pegRNA_RTT_opt_11_R1.fastq.gz	SRR33940341
