fastq	Accession
REP1_OrthoTS2cells_EMX1endogenousSeq_GCTGC_EMX1_type2_RTT_20_R1.fastq.gz	SRR34052994
REP1_OrthoTS2cells_EMX1endogenousSeq_GCTGC_EMX1_type2_RTT_22_R1.fastq.gz	SRR34052983
REP1_OrthoTS2cells_EMX1endogenousSeq_GTCAG_EMX1_type2_RTT_14_R1.fastq.gz	SRR34052972
REP1_OrthoTS2cells_EMX1endogenousSeq_GTCAG_EMX1_type2_RTT_16_R1.fastq.gz	SRR34052800
REP1_OrthoTS2cells_EMX1endogenousSeq_GTCAG_EMX1_type2_RTT_18_R1.fastq.gz	SRR34052799
REP1_OrthoTS2cells_EMX1endogenousSeq_GTCAG_EMX1_type2_RTT_20_R1.fastq.gz	SRR34052798
REP1_OrthoTS2cells_EMX1endogenousSeq_GTCAG_EMX1_type2_RTT_22_R1.fastq.gz	SRR34052797
REP1_OrthoTS2cells_HEK3endogenousSeq_GCTGC_HEK3_type1_RTT_30_R1.fastq.gz	SRR34052795
REP1_OrthoTS2cells_HEK3endogenousSeq_GCTGC_HEK3_type1_RTT_32_R1.fastq.gz	SRR34052794
REP1_OrthoTS2cells_HEK3endogenousSeq_GCTGC_HEK3_type1_RTT_34_R1.fastq.gz	SRR34052793
REP1_OrthoTS2cells_HEK3endogenousSeq_GCTGC_HEK3_type1_RTT_36_R1.fastq.gz	SRR34052792
REP1_OrthoTS2cells_HEK3endogenousSeq_GCTGC_HEK3_type1_RTT_40_R1.fastq.gz	SRR34052791
REP1_OrthoTS2cells_HEK3endogenousSeq_GTCAG_HEK3_type1_RTT_30_R1.fastq.gz	SRR34052790
REP1_OrthoTS2cells_HEK3endogenousSeq_GTCAG_HEK3_type1_RTT_32_R1.fastq.gz	SRR34052789
REP1_OrthoTS2cells_HEK3endogenousSeq_GTCAG_HEK3_type1_RTT_34_R1.fastq.gz	SRR34052788
REP1_OrthoTS2cells_HEK3endogenousSeq_GTCAG_HEK3_type1_RTT_36_R1.fastq.gz	SRR34052787
REP1_OrthoTS2cells_HEK3endogenousSeq_GTCAG_HEK3_type1_RTT_40_R1.fastq.gz	SRR34052786
REP1_OrthoTS2cells_RNF2endogenousSeq_GCTGC_RNF2_type1_RTT_10_R1.fastq.gz	SRR34052784
REP1_OrthoTS2cells_RNF2endogenousSeq_GCTGC_RNF2_type1_RTT_12_R1.fastq.gz	SRR34052783
REP1_OrthoTS2cells_RNF2endogenousSeq_GCTGC_RNF2_type1_RTT_14_R1.fastq.gz	SRR34052782
REP1_OrthoTS2cells_RNF2endogenousSeq_GCTGC_RNF2_type1_RTT_16_R1.fastq.gz	SRR34052781
REP1_OrthoTS2cells_RNF2endogenousSeq_GCTGC_RNF2_type1_RTT_18_R1.fastq.gz	SRR34052780
REP1_OrthoTS2cells_RNF2endogenousSeq_GTCAG_RNF2_type1_RTT_10_R1.fastq.gz	SRR34052779
REP1_OrthoTS2cells_RNF2endogenousSeq_GTCAG_RNF2_type1_RTT_12_R1.fastq.gz	SRR34052778
REP1_OrthoTS2cells_RNF2endogenousSeq_GTCAG_RNF2_type1_RTT_14_R1.fastq.gz	SRR34052584
REP1_OrthoTS2cells_RNF2endogenousSeq_GTCAG_RNF2_type1_RTT_16_R1.fastq.gz	SRR34052583
REP1_OrthoTS2cells_RNF2endogenousSeq_GTCAG_RNF2_type1_RTT_18_R1.fastq.gz	SRR34052582
REP1_OrthoTS2cells_TSseq_GCTGC_EMX1_type2_RTT_14_R1.fastq.gz	SRR34052580
REP1_OrthoTS2cells_TSseq_GCTGC_EMX1_type2_RTT_16_R1.fastq.gz	SRR34052579
REP1_OrthoTS2cells_TSseq_GCTGC_EMX1_type2_RTT_18_R1.fastq.gz	SRR34052578
REP1_OrthoTS2cells_TSseq_GCTGC_EMX1_type2_RTT_20_R1.fastq.gz	SRR34052577
REP1_OrthoTS2cells_TSseq_GCTGC_EMX1_type2_RTT_22_R1.fastq.gz	SRR34052576
REP1_OrthoTS2cells_TSseq_GCTGC_HEK3_type1_RTT_30_R1.fastq.gz	SRR34052575
REP1_OrthoTS2cells_TSseq_GCTGC_HEK3_type1_RTT_32_R1.fastq.gz	SRR34052574
REP1_OrthoTS2cells_TSseq_GCTGC_HEK3_type1_RTT_34_R1.fastq.gz	SRR34052573
REP1_OrthoTS2cells_TSseq_GCTGC_HEK3_type1_RTT_36_R1.fastq.gz	SRR34052572
REP1_OrthoTS2cells_TSseq_GCTGC_HEK3_type1_RTT_40_R1.fastq.gz	SRR34052571
REP1_OrthoTS2cells_TSseq_GCTGC_RNF2_type1_RTT_10_R1.fastq.gz	SRR34052685
REP1_OrthoTS2cells_TSseq_GCTGC_RNF2_type1_RTT_12_R1.fastq.gz	SRR34052684
REP1_OrthoTS2cells_TSseq_GCTGC_RNF2_type1_RTT_14_R1.fastq.gz	SRR34052683
REP1_OrthoTS2cells_TSseq_GCTGC_RNF2_type1_RTT_16_R1.fastq.gz	SRR34052682
REP1_OrthoTS2cells_TSseq_GCTGC_RNF2_type1_RTT_18_R1.fastq.gz	SRR34052681
REP1_OrthoTS2cells_TSseq_GTCAG_EMX1_type2_RTT_14_R1.fastq.gz	SRR34052680
REP1_OrthoTS2cells_TSseq_GTCAG_EMX1_type2_RTT_16_R1.fastq.gz	SRR34052679
REP1_OrthoTS2cells_TSseq_GTCAG_EMX1_type2_RTT_18_R1.fastq.gz	SRR34052678
REP1_OrthoTS2cells_TSseq_GTCAG_EMX1_type2_RTT_20_R1.fastq.gz	SRR34052677
REP1_OrthoTS2cells_TSseq_GTCAG_EMX1_type2_RTT_22_R1.fastq.gz	SRR34052676
REP1_OrthoTS2cells_TSseq_GTCAG_HEK3_type1_RTT_30_R1.fastq.gz	SRR34052674
REP1_OrthoTS2cells_TSseq_GTCAG_HEK3_type1_RTT_32_R1.fastq.gz	SRR34052673
REP1_OrthoTS2cells_TSseq_GTCAG_HEK3_type1_RTT_34_R1.fastq.gz	SRR34052672
REP1_OrthoTS2cells_TSseq_GTCAG_HEK3_type1_RTT_36_R1.fastq.gz	SRR34052671
REP1_OrthoTS2cells_TSseq_GTCAG_HEK3_type1_RTT_40_R1.fastq.gz	SRR34052670
REP1_OrthoTS2cells_TSseq_GTCAG_RNF2_type1_RTT_10_R1.fastq.gz	SRR34052669
REP1_OrthoTS2cells_TSseq_GTCAG_RNF2_type1_RTT_12_R1.fastq.gz	SRR34052668
REP1_OrthoTS2cells_TSseq_GTCAG_RNF2_type1_RTT_14_R1.fastq.gz	SRR34052667
REP1_OrthoTS2cells_TSseq_GTCAG_RNF2_type1_RTT_16_R1.fastq.gz	SRR34052666
REP1_OrthoTS2cells_TSseq_GTCAG_RNF2_type1_RTT_18_R1.fastq.gz	SRR34052665
REP1_WtTScells_EMX1endogenousSeq_GCTGC_EMX1_type2_RTT_18_R1.fastq.gz	SRR34052485
REP1_WtTScells_EMX1endogenousSeq_GTCAG_EMX1_type2_RTT_18_R1.fastq.gz	SRR34052484
REP1_WtTScells_HEK3endogenousSeq_GCTGC_HEK3_type1_RTT_34_R1.fastq.gz	SRR34052483
REP1_WtTScells_HEK3endogenousSeq_GTCAG_HEK3_type1_RTT_34_R1.fastq.gz	SRR34052482
