autocorr,p_value,var_norm,q_value,feature_type,clone,feature
0.005788269221984429,0.005794407354518986,-0.0001370037021671463,0.021529367741698585,expression,M1-T1,Ftcd
0.05448421949053402,0.05449035762306857,-0.0001370037021671463,0.07038337859646357,expression,M1-T1,Fxyd3
0.5621511481656488,0.5621572862981834,-0.0001370037021671463,0.6009267543187478,expression,M1-T1,Fzd2
0.04123981437399463,0.04124595250652918,-0.0001370037021671463,0.05746627090797324,expression,M1-T1,Galnt18
0.028258824614880523,0.028264962747415082,-0.0001370037021671463,0.04439389901013125,expression,M1-T1,Gata2
-0.0010832718649145098,-0.0010771337323799521,-0.0001370037021671463,-0.01484050920167934,expression,M1-T1,Gjb1
0.03025922154132123,0.03026535967385579,-0.0001370037021671463,0.045767129262903876,expression,M1-T1,Gpihbp1
0.6320595123493242,0.6320656504818588,-0.0001370037021671463,0.6698815441004315,expression,M1-T1,Gpr39
0.0451525674548082,0.04515870558734276,-0.0001370037021671463,0.060866081443809804,expression,M1-T1,Grm6
0.0013580710325554587,0.0013642091650900164,-0.0001370037021671463,0.010572621029447627,expression,M1-T1,Gzma
0.0006954341817264291,0.0007015723142609868,-0.0001370037021671463,0.0066919205360278745,expression,M1-T1,Gzmb
0.027082997903436132,0.02708913603597069,-0.0001370037021671463,0.04439389901013125,expression,M1-T1,Havcr2
0.7610647465655648,0.7610708846980994,-0.0001370037021671463,0.7864399141880359,expression,M1-T1,Hoxa10
0.08252221173059188,0.08252834986312643,-0.0001370037021671463,0.09746205126693026,expression,M1-T1,Hpd
0.021329635198376697,0.021335773330911256,-0.0001370037021671463,0.04008539231868175,expression,M1-T1,Htr1b
0.0796662097371146,0.07967234786964915,-0.0001370037021671463,0.09591622461977178,expression,M1-T1,Ibsp
0.0009234170813470313,0.000929555213881589,-0.0001370037021671463,0.008233203322951218,expression,M1-T1,Ifng
0.013491225128572537,0.013497363261107094,-0.0001370037021671463,0.03218602008417845,expression,M1-T1,Ighd
0.6406814433641578,0.6406875814966924,-0.0001370037021671463,0.6732649161490665,expression,M1-T1,Inava
0.05396239292530508,0.053968531057839636,-0.0001370037021671463,0.07038337859646357,expression,M1-T1,Itgax
