feature,cor,p_value,q_value,rank,clone,dist_cor,feature_type
Sdc1,-0.0017171436742936435,0.8127676524063031,0.8546012815742746,24.0,M1-T1,0.001371560237967801,expression
Shank3,0.005556051635288139,0.44344507016377177,0.56618433065553,46.0,M1-T1,-0.04109921341391292,expression
Siglech,0.024670615629515096,0.0006652882545483388,0.0030354479424846877,122.0,M1-T1,-0.04988089133575574,expression
Skap1,0.02108633914209135,0.003627018222369216,0.011525857906639953,109.0,M1-T1,-0.04456754053374021,expression
Slc7a2,0.012350670952985058,0.0884419557539056,0.15423414235132316,73.0,M1-T1,-0.07231100827759707,expression
Slc8a1,-0.0028527741779159443,0.6939482204154152,0.7692604303829796,20.0,M1-T1,-0.08644112582474388,expression
Sox17,0.014478173566617309,0.045806240022218676,0.09493177279967059,86.0,M1-T1,0.04089373510180538,expression
Stxbp6,0.027067061519359177,0.00018829636260514512,0.0009616564233048483,124.0,M1-T1,-0.08897249040324351,expression
Themis,0.015095030350439088,0.03731731412660236,0.08380622146139284,91.0,M1-T1,-0.03639273174431751,expression
Tmem252,0.019486478883347064,0.007184836772233426,0.021448389997561504,107.0,M1-T1,-0.006292243699285237,expression
Tmprss11e,0.05358586192252529,1.3954234747816585e-13,2.4943194611722147e-12,140.0,M1-T1,-0.042086328759300996,expression
Tppp3,-0.03184346096392288,1.1154420301157707e-05,7.250373195752509e-05,8.0,M1-T1,0.0025371244961944115,expression
Trdc,0.014179718350519125,0.050465133320584936,0.09752046033572494,81.0,M1-T1,-0.014304119896417066,expression
Tspan7,0.02276717735642515,0.0016846769486968363,0.006022720091591189,114.0,M1-T1,-0.04346765539296626,expression
Vcan,0.02319891609879376,0.0013723230876127453,0.00545117226468396,118.0,M1-T1,-0.03215571363843438,expression
Wnt7b,-0.024629438790520986,0.0006792610780385315,0.0030354479424846877,10.0,M1-T1,0.10000290843886667,expression
Xcr1,0.014329078083038831,0.04808624142126215,0.0969231734589391,85.0,M1-T1,-0.04057105279071135,expression
