sample,cellBC,detection_rate,centroid_z,n_layers,volume
M1-1,M1-1-627,0.9230769230769231,3.190380925202516,16,1105.0589252913471
M1-1,M1-1-629,0.6153846153846154,2.42604076878573,15,1453.721413200007
M1-1,M1-1-633,0.6153846153846154,3.593090090561692,15,1049.809185599989
M1-1,M1-1-637,0.6153846153846154,1.9908076033390336,15,1092.8391071999945
M1-1,M1-1-640,0.6153846153846154,4.384934781696923,15,1310.2968336000038
M1-1,M1-1-641,0.5384615384615384,3.966863084922023,15,1109.8202639999936
M1-1,M1-1-653,0.6153846153846154,3.811310295498235,14,1229.2928687999945
M1-1,M1-1-654,0.6923076923076923,4.307836835599508,14,889.1751360000017
M1-1,M1-1-666,0.46153846153846156,4.185617825793377,14,976.6638143999996
M1-1,M1-1-681,0.5384615384615384,4.240624852961937,13,1167.9628655999973
M1-1,M1-1-700,0.3076923076923077,5.752153176194092,12,795.0368783999991
M1-1,M1-1-712,0.5384615384615384,6.2022702847931255,11,1636.3460351999945
M1-1,M1-1-713,0.3076923076923077,5.428812494390087,12,1224.5117663999897
M1-1,M1-1-720,0.5384615384615384,6.647390333675249,12,910.7725295999994
M1-1,M1-1-737,0.3076923076923077,5.976849434290685,11,757.7222976000054
M1-1,M1-1-738,0.38461538461538464,5.589389190428862,11,718.8689712000033
M1-1,M1-1-742,0.46153846153846156,5.883000747090609,11,1149.980316015493
M1-1,M1-1-743,0.46153846153846156,6.133765974440899,11,1100.8625664000017
M1-1,M1-1-750,0.3076923076923077,5.711440724952439,11,925.3045952374678
M1-1,M1-1-755,0.6153846153846154,7.164092474176094,10,670.3435296000013
M1-1,M1-1-773,0.46153846153846156,7.282674321696454,9,593.4612047999976
M1-1,M1-1-782,0.3076923076923077,7.132376732647548,9,739.1107924363685
M1-1,M1-1-790,0.5384615384615384,7.62042904644203,9,702.0135458823557
M1-1,M1-1-843,0.9230769230769231,-5.549868688851485,14,960.1837461899762
M1-1,M1-1-873,0.6923076923076923,-1.0835299822208009,20,2040.046934400004
M1-1,M1-1-888,0.8461538461538461,0.5259847014499464,20,1925.4103872000003
M1-1,M1-1-889,0.8461538461538461,-0.2325544464609718,20,1937.9401727999975
M1-1,M1-1-910,0.6153846153846154,-3.911021430559418,20,1579.6322688000002
