bits,blank,intID
"['r1', 'r3', 'r6', 'r7', 'r15', 'r19']",FALSE,intID222
"['r1', 'r3', 'r6', 'r8', 'r11', 'r12']",FALSE,intID223
"['r1', 'r3', 'r6', 'r8', 'r13', 'r16']",FALSE,intID224
"['r1', 'r3', 'r6', 'r8', 'r15', 'r18']",FALSE,intID225
"['r1', 'r3', 'r6', 'r8', 'r17', 'r19']",FALSE,intID226
"['r1', 'r3', 'r6', 'r9', 'r11', 'r18']",FALSE,intID227
"['r1', 'r3', 'r6', 'r9', 'r13', 'r19']",FALSE,intID228
"['r1', 'r3', 'r6', 'r9', 'r14', 'r16']",FALSE,intID229
"['r1', 'r3', 'r6', 'r9', 'r15', 'r17']",FALSE,intID230
"['r1', 'r3', 'r6', 'r10', 'r15', 'r20']",FALSE,intID231
"['r1', 'r3', 'r6', 'r10', 'r19', 'r21']",FALSE,intID232
"['r1', 'r3', 'r6', 'r11', 'r17', 'r21']",FALSE,intID233
"['r1', 'r3', 'r6', 'r12', 'r14', 'r21']",FALSE,intID234
"['r1', 'r3', 'r6', 'r12', 'r18', 'r20']",FALSE,intID235
"['r1', 'r3', 'r6', 'r13', 'r15', 'r21']",FALSE,intID236
"['r1', 'r3', 'r6', 'r14', 'r17', 'r20']",FALSE,intID237
"['r1', 'r3', 'r6', 'r16', 'r18', 'r21']",FALSE,intID238
"['r1', 'r3', 'r7', 'r8', 'r11', 'r17']",FALSE,intID239
"['r1', 'r3', 'r7', 'r8', 'r12', 'r14']",FALSE,intID240
"['r1', 'r3', 'r7', 'r8', 'r13', 'r15']",FALSE,intID241
"['r1', 'r3', 'r7', 'r8', 'r16', 'r18']",FALSE,intID242
"['r1', 'r3', 'r7', 'r9', 'r10', 'r14']",FALSE,intID243
"['r1', 'r3', 'r7', 'r9', 'r13', 'r16']",FALSE,intID244
"['r1', 'r3', 'r7', 'r9', 'r15', 'r18']",FALSE,intID245
"['r1', 'r3', 'r7', 'r9', 'r17', 'r19']",FALSE,intID246
"['r1', 'r3', 'r7', 'r10', 'r18', 'r20']",FALSE,intID247
"['r1', 'r3', 'r7', 'r12', 'r15', 'r21']",FALSE,intID248
"['r1', 'r3', 'r7', 'r13', 'r14', 'r20']",FALSE,intID249
"['r1', 'r3', 'r7', 'r14', 'r19', 'r21']",FALSE,intID250
"['r1', 'r3', 'r7', 'r15', 'r16', 'r20']",FALSE,intID251
"['r1', 'r3', 'r7', 'r17', 'r18', 'r21']",FALSE,intID252
"['r1', 'r3', 'r8', 'r9', 'r10', 'r11']",FALSE,intID253
"['r1', 'r3', 'r8', 'r9', 'r12', 'r13']",FALSE,intID254
"['r1', 'r3', 'r8', 'r9', 'r18', 'r19']",FALSE,intID255
"['r1', 'r3', 'r8', 'r10', 'r16', 'r20']",FALSE,intID256
"['r1', 'r3', 'r8', 'r11', 'r14', 'r20']",FALSE,intID257
"['r1', 'r3', 'r8', 'r11', 'r18', 'r21']",FALSE,intID258
"['r1', 'r3', 'r8', 'r12', 'r19', 'r21']",FALSE,intID259
"['r1', 'r3', 'r8', 'r13', 'r18', 'r20']",FALSE,intID260
"['r1', 'r3', 'r8', 'r14', 'r16', 'r21']",FALSE,intID261
"['r1', 'r3', 'r8', 'r15', 'r17', 'r21']",FALSE,intID262
"['r1', 'r3', 'r8', 'r15', 'r19', 'r20']",FALSE,intID263
"['r1', 'r3', 'r9', 'r10', 'r15', 'r21']",FALSE,intID264
"['r1', 'r3', 'r9', 'r10', 'r19', 'r20']",FALSE,intID265
"['r1', 'r3', 'r9', 'r11', 'r13', 'r21']",FALSE,intID266
"['r1', 'r3', 'r9', 'r11', 'r17', 'r20']",FALSE,intID267
"['r1', 'r3', 'r9', 'r12', 'r18', 'r21']",FALSE,intID268
"['r1', 'r3', 'r9', 'r13', 'r15', 'r20']",FALSE,intID269
"['r1', 'r3', 'r9', 'r14', 'r17', 'r21']",FALSE,intID270
"['r1', 'r3', 'r9', 'r16', 'r18', 'r20']",FALSE,intID271
"['r1', 'r3', 'r10', 'r11', 'r13', 'r19']",FALSE,intID272
"['r1', 'r3', 'r10', 'r11', 'r16', 'r18']",FALSE,intID273
"['r1', 'r3', 'r10', 'r12', 'r13', 'r18']",FALSE,intID274
"['r1', 'r3', 'r10', 'r12', 'r16', 'r17']",FALSE,intID275
"['r1', 'r3', 'r10', 'r13', 'r15', 'r16']",FALSE,intID276
"['r1', 'r3', 'r10', 'r13', 'r17', 'r20']",FALSE,intID277
"['r1', 'r3', 'r10', 'r17', 'r18', 'r19']",FALSE,intID278
"['r1', 'r3', 'r11', 'r12', 'r15', 'r16']",FALSE,intID279
"['r1', 'r3', 'r11', 'r12', 'r18', 'r19']",FALSE,intID280
"['r1', 'r3', 'r11', 'r14', 'r17', 'r18']",FALSE,intID281
"['r1', 'r3', 'r11', 'r15', 'r20', 'r21']",FALSE,intID282
"['r1', 'r3', 'r11', 'r16', 'r17', 'r19']",FALSE,intID283
"['r1', 'r3', 'r12', 'r13', 'r14', 'r15']",FALSE,intID284
"['r1', 'r3', 'r12', 'r14', 'r16', 'r20']",FALSE,intID285
"['r1', 'r3', 'r12', 'r14', 'r17', 'r19']",FALSE,intID286
"['r1', 'r3', 'r12', 'r15', 'r17', 'r20']",FALSE,intID287
"['r1', 'r3', 'r13', 'r15', 'r17', 'r19']",FALSE,intID288
"['r1', 'r3', 'r13', 'r16', 'r17', 'r18']",FALSE,intID289
"['r1', 'r3', 'r14', 'r15', 'r16', 'r17']",FALSE,intID290
"['r1', 'r3', 'r15', 'r16', 'r18', 'r19']",FALSE,intID291
"['r1', 'r4', 'r5', 'r6', 'r9', 'r21']",FALSE,intID292
"['r1', 'r4', 'r5', 'r6', 'r10', 'r20']",FALSE,intID293
"['r1', 'r4', 'r5', 'r6', 'r12', 'r19']",FALSE,intID294
"['r1', 'r4', 'r5', 'r6', 'r13', 'r18']",FALSE,intID295
"['r1', 'r4', 'r5', 'r6', 'r14', 'r16']",FALSE,intID296
"['r1', 'r4', 'r5', 'r6', 'r15', 'r17']",FALSE,intID297
"['r1', 'r4', 'r5', 'r7', 'r8', 'r21']",FALSE,intID298
"['r1', 'r4', 'r5', 'r7', 'r10', 'r17']",FALSE,intID299
"['r1', 'r4', 'r5', 'r7', 'r11', 'r15']",FALSE,intID300
"['r1', 'r4', 'r5', 'r7', 'r12', 'r16']",FALSE,intID301
"['r1', 'r4', 'r5', 'r7', 'r13', 'r19']",FALSE,intID302
"['r1', 'r4', 'r5', 'r7', 'r14', 'r18']",FALSE,intID303
"['r1', 'r4', 'r5', 'r9', 'r12', 'r15']",FALSE,intID304
"['r1', 'r4', 'r5', 'r9', 'r14', 'r19']",FALSE,intID305
"['r1', 'r4', 'r5', 'r10', 'r18', 'r21']",FALSE,intID306
