generations,edit_rate,iteration
51,0.03,5
52,0.025,5
53,0.025,5
54,0.025,5
55,0.025,5
56,0.025,5
57,0.025,5
58,0.02,5
59,0.02,5
60,0.02,5
61,0.02,5
62,0.02,5
63,0.02,5
64,0.02,5
65,0.02,5
66,0.02,5
67,0.02,5
68,0.02,5
69,0.02,5
70,0.02,5
71,0.02,5
72,0.02,5
73,0.02,5
74,0.02,5
75,0.02,5
76,0.02,5
77,0.02,5
78,0.02,5
79,0.02,5
80,0.02,5
81,0.02,5
82,0.02,5
83,0.015,5
84,0.015,5
85,0.015,5
86,0.015,5
87,0.015,5
88,0.015,5
89,0.015,5
90,0.015,5
91,0.015,5
92,0.015,5
93,0.015,5
94,0.015,5
95,0.015,5
96,0.015,5
97,0.015,5
98,0.015,5
99,0.015,5
100,0.015,5
4,0.255,6
5,0.215,6
6,0.19,6
7,0.16,6
8,0.14,6
9,0.135,6
10,0.115,6
11,0.095,6
12,0.095,6
13,0.09,6
14,0.085,6
15,0.075,6
16,0.07,6
17,0.07,6
18,0.065,6
19,0.06,6
20,0.06,6
21,0.06,6
22,0.05,6
23,0.05,6
24,0.055,6
25,0.055,6
26,0.055,6
27,0.045,6
28,0.045,6
29,0.045,6
30,0.045,6
31,0.04,6
32,0.04,6
33,0.04,6
34,0.04,6
35,0.04,6
36,0.035,6
37,0.035,6
38,0.035,6
39,0.03,6
40,0.03,6
41,0.03,6
42,0.03,6
43,0.03,6
44,0.03,6
45,0.03,6
46,0.03,6
47,0.025,6
48,0.025,6
49,0.025,6
50,0.025,6
51,0.025,6
52,0.025,6
53,0.025,6
54,0.025,6
55,0.025,6
56,0.025,6
57,0.025,6
58,0.025,6
59,0.025,6
60,0.025,6
61,0.025,6
62,0.025,6
63,0.025,6
64,0.025,6
65,0.025,6
66,0.025,6
67,0.02,6
68,0.02,6
69,0.02,6
70,0.02,6
71,0.02,6
72,0.02,6
73,0.02,6
74,0.02,6
75,0.02,6
76,0.02,6
77,0.015,6
78,0.015,6
79,0.015,6
80,0.015,6
81,0.015,6
82,0.015,6
83,0.015,6
84,0.015,6
85,0.015,6
86,0.015,6
87,0.015,6
88,0.015,6
89,0.015,6
90,0.015,6
91,0.015,6
92,0.015,6
93,0.015,6
94,0.015,6
95,0.015,6
96,0.015,6
97,0.015,6
98,0.015,6
99,0.015,6
100,0.015,6
4,0.26,7
5,0.23500000000000001,7
6,0.195,7
7,0.155,7
8,0.145,7
9,0.135,7
10,0.115,7
11,0.115,7
12,0.1,7
13,0.095,7
14,0.09,7
15,0.085,7
16,0.075,7
17,0.075,7
18,0.07,7
19,0.07,7
20,0.065,7
21,0.065,7
22,0.065,7
23,0.055,7
24,0.055,7
25,0.05,7
26,0.05,7
27,0.05,7
28,0.045,7
29,0.045,7
30,0.045,7
31,0.045,7
32,0.045,7
33,0.035,7
34,0.035,7
35,0.035,7
36,0.035,7
37,0.035,7
38,0.03,7
39,0.03,7
40,0.03,7
41,0.03,7
42,0.03,7
43,0.03,7
44,0.03,7
45,0.03,7
46,0.03,7
47,0.025,7
48,0.025,7
49,0.025,7
50,0.025,7
51,0.025,7
52,0.025,7
53,0.025,7
54,0.025,7
55,0.025,7
56,0.025,7
57,0.025,7
58,0.025,7
59,0.025,7
60,0.02,7
61,0.02,7
62,0.02,7
63,0.02,7
64,0.02,7
65,0.02,7
66,0.02,7
67,0.02,7
68,0.02,7
69,0.02,7
70,0.02,7
71,0.02,7
72,0.02,7
73,0.02,7
74,0.02,7
75,0.02,7
76,0.02,7
77,0.02,7
78,0.015,7
79,0.015,7
80,0.015,7
81,0.015,7
82,0.015,7
83,0.015,7
84,0.015,7
85,0.015,7
86,0.015,7
87,0.015,7
88,0.015,7
89,0.015,7
90,0.015,7
91,0.015,7
92,0.015,7
93,0.015,7
94,0.015,7
95,0.015,7
96,0.015,7
97,0.015,7
98,0.015,7
99,0.015,7
100,0.015,7
4,0.245,8
5,0.24,8
6,0.17500000000000002,8
7,0.18,8
8,0.15,8
9,0.135,8
10,0.12,8
11,0.115,8
12,0.095,8
13,0.08,8
14,0.09,8
15,0.085,8
16,0.085,8
17,0.075,8
18,0.07,8
19,0.06,8
20,0.065,8
21,0.06,8
22,0.055,8
23,0.055,8
24,0.055,8
25,0.055,8
26,0.05,8
27,0.05,8
28,0.045,8
29,0.04,8
30,0.04,8
31,0.04,8
32,0.04,8
33,0.04,8
34,0.035,8
35,0.035,8
36,0.035,8
37,0.035,8
38,0.035,8
39,0.035,8
40,0.035,8
41,0.03,8
42,0.03,8
43,0.03,8
44,0.03,8
45,0.025,8
46,0.025,8
47,0.025,8
48,0.025,8
49,0.025,8
50,0.025,8
51,0.025,8
