Batch	Correct_edit	Indels	Substitutions_amplicon	Reads_aligned_all_amplicons	Reads_aligned_reference	Reads_aligned_amplicon	dir
REP3_RNF2_Type1_BC2_10	53.3280658909161	0.356749509170138	0.976871139204137	41766	19490	22273	CRISPRessoBatch_on_RNF2_TYPE1_BC2
REP3_RNF2_Type1_BC2_12	42.6880627359861	0.321909187723884	0.6510794849453	41316	23677	17637	CRISPRessoBatch_on_RNF2_TYPE1_BC2
REP3_RNF2_Type1_BC2_14	55.0741334401923	0.37818072530555	0.934181526748147	39928	17938	21990	CRISPRessoBatch_on_RNF2_TYPE1_BC2
REP3_RNF2_Type1_BC2_16	52.816240966514	0.187565510012688	0.797153417553925	36254	17106	19148	CRISPRessoBatch_on_RNF2_TYPE1_BC2
REP3_RNF2_Type1_BC2_18	55.8962107638198	0.484438250713385	0.889242816377995	15069	6643	8423	CRISPRessoBatch_on_RNF2_TYPE1_BC2
REP3_RNF2_Type1_BC2_20	53.0993618960802	0.179916518735307	0.870795950678885	41686	19548	22135	CRISPRessoBatch_on_RNF2_TYPE1_BC2
REP3_RNF2_Type1_BC2_6	3.67211043064061	0.838436862058909	0.490910858364927	41148	39637	1511	CRISPRessoBatch_on_RNF2_TYPE1_BC2
REP3_RNF2_Type1_BC2_8	31.0727079097686	0.554264691644883	0.757575757575758	41316	28476	12838	CRISPRessoBatch_on_RNF2_TYPE1_BC2
REP1_RUNX1_Type1_BC1__11	35.3061795134682	0.107186131046696	1.54254823375897	21458	13882	7576	CRISPRessoBatch_on_RUNX1_TYPE1_BC1
REP1_RUNX1_Type1_BC1__13	35.7788278206085	0.0538837768382658	1.52118046920335	24126	15494	8632	CRISPRessoBatch_on_RUNX1_TYPE1_BC1
REP1_RUNX1_Type1_BC1__15	42.422357834182	0.0544175379951024	1.98235316982159	25727	14813	10914	CRISPRessoBatch_on_RUNX1_TYPE1_BC1
REP1_RUNX1_Type1_BC1__17	39.0212104497819	0.100285814571529	1.72993030135887	19943	12161	7782	CRISPRessoBatch_on_RUNX1_TYPE1_BC1
REP1_RUNX1_Type1_BC1__19	38.5405176071277	0.0169707254985151	1.62918964785745	23570	14486	9084	CRISPRessoBatch_on_RUNX1_TYPE1_BC1
REP1_RUNX1_Type1_BC1__21	35.5407776854161	0.0738893506973307	1.60247529324836	21654	13958	7696	CRISPRessoBatch_on_RUNX1_TYPE1_BC1
REP1_RUNX1_Type1_BC1__23	31.9796766058448	0.0704643228007714	1.49087672452158	26964	18341	8623	CRISPRessoBatch_on_RUNX1_TYPE1_BC1
REP1_RUNX1_Type1_BC1__7	13.5024942440522	0.134305448963929	0.805832693783576	20848	18033	2815	CRISPRessoBatch_on_RUNX1_TYPE1_BC1
REP1_RUNX1_Type1_BC1__9	33.4249186946282	0.128967141415274	1.42985308960413	17834	11873	5961	CRISPRessoBatch_on_RUNX1_TYPE1_BC1
REP2_RUNX1_Type1_BC1__11	36.382811270266	0.176294663938297	1.67165118841492	31765	20208	11557	CRISPRessoBatch_on_RUNX1_TYPE1_BC1
REP2_RUNX1_Type1_BC1__13	38.4800757380153	0.0200820495165964	1.57787531916114	34857	21444	13413	CRISPRessoBatch_on_RUNX1_TYPE1_BC1
REP2_RUNX1_Type1_BC1__15	43.5966419240867	0.353311075816019	1.93186606592979	30851	17400	13450	CRISPRessoBatch_on_RUNX1_TYPE1_BC1
REP2_RUNX1_Type1_BC1__17	35.252859363169	0.346710237914956	1.53030725700395	25093	16247	8846	CRISPRessoBatch_on_RUNX1_TYPE1_BC1
REP2_RUNX1_Type1_BC1__19	44.373810293431	0.197536185037532	2.01846065438351	27843	15488	12355	CRISPRessoBatch_on_RUNX1_TYPE1_BC1
REP2_RUNX1_Type1_BC1__21	38.5072873453504	0.143177062300378	1.63001578618892	27239	16750	10489	CRISPRessoBatch_on_RUNX1_TYPE1_BC1
REP2_RUNX1_Type1_BC1__23	33.384742297622	0.118360173594921	1.4669488181916	27881	18573	9308	CRISPRessoBatch_on_RUNX1_TYPE1_BC1
REP2_RUNX1_Type1_BC1__7	16.0681679853926	0.365185636031649	0.876445526475959	16430	13790	2640	CRISPRessoBatch_on_RUNX1_TYPE1_BC1
REP2_RUNX1_Type1_BC1__9	33.1891971123896	0.351790098574517	1.68199640880941	27289	18232	9057	CRISPRessoBatch_on_RUNX1_TYPE1_BC1
REP3_RUNX1_Type1_BC1__11	35.0506882302227	0.089187501858073	1.59645628325951	33637	21847	11790	CRISPRessoBatch_on_RUNX1_TYPE1_BC1
REP3_RUNX1_Type1_BC1__13	38.1254602195028	0.0175321715347663	1.6655562958028	28519	17646	10873	CRISPRessoBatch_on_RUNX1_TYPE1_BC1
REP3_RUNX1_Type1_BC1__15	44.4973407222821	0.0371926953546323	1.92658161936996	26887	14923	11964	CRISPRessoBatch_on_RUNX1_TYPE1_BC1
REP3_RUNX1_Type1_BC1__17	38.9236139297021	0.284113970289796	1.72091890575534	24638	15048	9590	CRISPRessoBatch_on_RUNX1_TYPE1_BC1
REP3_RUNX1_Type1_BC1__19	43.0572498212258	0.0336516215875152	1.96020695747276	23773	13537	10236	CRISPRessoBatch_on_RUNX1_TYPE1_BC1
REP3_RUNX1_Type1_BC1__21	39.9689085256096	0.0490918016691213	1.81230567828506	24444	14674	9770	CRISPRessoBatch_on_RUNX1_TYPE1_BC1
REP3_RUNX1_Type1_BC1__23	34.9031171019377	0.227464195450716	1.75652906486942	23740	15454	8286	CRISPRessoBatch_on_RUNX1_TYPE1_BC1
REP3_RUNX1_Type1_BC1__7	14.7074756229686	0.449620801733478	0.742145178764897	18460	15745	2715	CRISPRessoBatch_on_RUNX1_TYPE1_BC1
REP3_RUNX1_Type1_BC1__9	36.3984499658081	0.0227946204695692	1.70047868702986	21935	13951	7984	CRISPRessoBatch_on_RUNX1_TYPE1_BC1
REP1_RUNX1_Type1_BC2__11	37.5940747819854	0.095568032493131	1.50519651176681	16742	10448	6294	CRISPRessoBatch_on_RUNX1_TYPE1_BC2
REP1_RUNX1_Type1_BC2__13	41.3767983973775	0.0182116190129302	1.69823347295575	21964	12876	9088	CRISPRessoBatch_on_RUNX1_TYPE1_BC2
REP1_RUNX1_Type1_BC2__15	45.2482491490277	0.0156500645565163	1.87409523064283	25559	13994	11565	CRISPRessoBatch_on_RUNX1_TYPE1_BC2
REP1_RUNX1_Type1_BC2__17	48.400513478819	0.0770218228498075	2.02824133504493	19475	10048	9426	CRISPRessoBatch_on_RUNX1_TYPE1_BC2
REP1_RUNX1_Type1_BC2__19	41.2365443003036	0.115926028153464	1.74993099641181	18115	10645	7470	CRISPRessoBatch_on_RUNX1_TYPE1_BC2
REP1_RUNX1_Type1_BC2__21	45.1474581923865	0.0381152032016771	1.90576016008385	20989	11513	9476	CRISPRessoBatch_on_RUNX1_TYPE1_BC2
REP1_RUNX1_Type1_BC2__23	41.5093301040348	0.0385314030935212	1.61281444377167	18167	10626	7541	CRISPRessoBatch_on_RUNX1_TYPE1_BC2
REP1_RUNX1_Type1_BC2__7	19.1283292978208	0.304905389651152	1.46175230920994	22302	18036	4266	CRISPRessoBatch_on_RUNX1_TYPE1_BC2
REP1_RUNX1_Type1_BC2__9	43.7727891754162	0.0395378465052937	2.28440890919475	22763	12799	9964	CRISPRessoBatch_on_RUNX1_TYPE1_BC2
REP2_RUNX1_Type1_BC2__11	38.8159615082893	0.0732179279326395	1.98734375817164	19121	11699	7422	CRISPRessoBatch_on_RUNX1_TYPE1_BC2
REP2_RUNX1_Type1_BC2__13	41.7930799386398	0.0284074768479064	1.82944150900517	17601	10245	7356	CRISPRessoBatch_on_RUNX1_TYPE1_BC2
REP2_RUNX1_Type1_BC2__15	44.7158587520567	0.147660633675062	2.08412437244231	23703	13103	10599	CRISPRessoBatch_on_RUNX1_TYPE1_BC2
REP2_RUNX1_Type1_BC2__17	43.6034829202947	0.0103044979133392	1.81359163274769	19409	10946	8463	CRISPRessoBatch_on_RUNX1_TYPE1_BC2
REP2_RUNX1_Type1_BC2__19	46.6676060307172	0.112723686064534	1.75426236437932	14194	7570	6624	CRISPRessoBatch_on_RUNX1_TYPE1_BC2
REP2_RUNX1_Type1_BC2__21	45.2993039443155	0.0464037122969838	2.0092807424594	21550	11788	9762	CRISPRessoBatch_on_RUNX1_TYPE1_BC2
REP2_RUNX1_Type1_BC2__23	42.1195954206958	0.0111148160497944	1.59497610314549	17994	10415	7579	CRISPRessoBatch_on_RUNX1_TYPE1_BC2
REP2_RUNX1_Type1_BC2__7	19.0508706043018	0.641098592617882	1.26702325404954	26361	21339	5022	CRISPRessoBatch_on_RUNX1_TYPE1_BC2
REP2_RUNX1_Type1_BC2__9	40.8797653958944	0.304985337243402	2.20918866080156	25575	15120	10455	CRISPRessoBatch_on_RUNX1_TYPE1_BC2
REP3_RUNX1_Type1_BC2__11	34.9378599575629	0.242497726583813	1.89754471051834	16495	10732	5763	CRISPRessoBatch_on_RUNX1_TYPE1_BC2
REP3_RUNX1_Type1_BC2__13	43.4529892692897	0.249105774144098	1.95452222789985	15656	8853	6803	CRISPRessoBatch_on_RUNX1_TYPE1_BC2
REP3_RUNX1_Type1_BC2__15	46.7103635913925	0.154588177096216	2.24462033143705	16172	8617	7554	CRISPRessoBatch_on_RUNX1_TYPE1_BC2
REP3_RUNX1_Type1_BC2__17	46.3254848543815	0.142699617305572	2.21184406823636	15417	8274	7142	CRISPRessoBatch_on_RUNX1_TYPE1_BC2
REP3_RUNX1_Type1_BC2__19	51.1266983320446	0.0607533414337789	2.36938031591738	18106	8849	9257	CRISPRessoBatch_on_RUNX1_TYPE1_BC2
REP3_RUNX1_Type1_BC2__21	47.0516938367372	0.0121204775468153	1.96957760135749	16501	8737	7764	CRISPRessoBatch_on_RUNX1_TYPE1_BC2
REP3_RUNX1_Type1_BC2__23	46.0130638402761	0.0308109440473256	1.9780626078383	16228	8761	7467	CRISPRessoBatch_on_RUNX1_TYPE1_BC2
REP3_RUNX1_Type1_BC2__7	18.7086399901045	0.414373183251902	1.10087203908714	16169	13144	3025	CRISPRessoBatch_on_RUNX1_TYPE1_BC2
REP3_RUNX1_Type1_BC2__9	38.5069427645266	0.232231844791717	2.27877497701872	20669	12710	7959	CRISPRessoBatch_on_RUNX1_TYPE1_BC2
REP1_AAVS1_type2_BC1_rt12	11.3648589173065	6.54310724240794	0.264071592742921	61347	53953	6972	CRISPRessoBatch_on_AAVS1_TYPE2_BC1
